ID,Name,Type,Country,Title,Call Sign,Vessel Type,Tonnage,Gross Registered Tonnage,Vessel Flag,Vessel Owner,Aliases
12605,SECT OF REVOLUTIONARIES,-0- ,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,a.k.a. 'SE'.
12685,GADDAFI INTERNATIONAL CHARITY AND DEVELOPMENT FOUNDATION,-0- ,LIBYA2,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Website www.gicdf.org; Email Address info@gicdf.org; Registration ID CH-660.0.699.004-7 (Switzerland); Telephone No. (218) (0)214778301; Telephone No. (022) 7363030; Fax No. (218) (0)214778766; Fax No. (022) 7363196.
12686,WAATASEMU CHARITY ASSOCIATION,-0- ,LIBYA2,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Website http://waatasemu.org.ly; Email Address info@waatasemu.org; Telephone No. (218) 21 273343326; Fax No. (218) 21 253343328.
12696,BANK OF EAST LAND,-0- ,DPRK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,"SWIFT/BIC BOELKPPY; Secondary sanctions risk: North Korea Sanctions Regulations, sections 510.201 and 510.210; Transactions Prohibited For Persons Owned or Controlled By U.S. Financial Institutions: North Korea Sanctions Regulations section 510.214."
12726,SYRIAN GENERAL INTELLIGENCE DIRECTORATE,-0- ,SYRIA] [HRIT-SY,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12727,BASIJ RESISTANCE FORCE,-0- ,FTO] [SDGT] [IRGC] [IFSR] [IRAN-HR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; a.k.a. 'NATIONAL RESISTANCE MOBILIZATION'; a.k.a. 'RESISTANCE MOBILIZATION FORCE'; f.k.a. 'NATIONAL MOBILIZATION ORGANIZATION'; a.k.a. 'MOBILIZATION OF THE OPPRESSED'; a.k.a. 'MOBILIZATION OF THE OPPRESSED UNIT'; a.k.a. 'ORGANIZATION OF THE MOBILISATION OF THE OPPRESSED'; Linked To: ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE; Linked To: ISLAMIC REVOLUTIONARY GUARD CORPS.
12733,ARMY OF ISLAM,-0- ,FTO] [SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12741,SYRIAN AIR FORCE INTELLIGENCE,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12742,SYRIAN NATIONAL SECURITY BUREAU,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12743,SYRIAN MILITARY INTELLIGENCE,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12744,CHAM HOLDING,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,a.k.a. 'SHAM HOLDING'; a.k.a. 'CHAM'.
12745,BENA PROPERTIES,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12746,AL MASHREQ INVESTMENT FUND,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,a.k.a. 'MASHRIQ'.
12756,CAUCASUS EMIRATE,-0- ,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12763,LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN,-0- ,SYRIA] [IRAN-HR] [HRIT-IR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12794,BEHNAM SHAHRIYARI TRADING COMPANY,-0- ,SDGT] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12802,MEHR-E EQTESAD-E IRANIAN INVESTMENT COMPANY,-0- ,SDGT] [NPWMD] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Website www.mebank.ir; Additional Sanctions Information - Subject to Secondary Sanctions; Phone Number 982188526300; alt. Phone Number 982188526301; alt. Phone Number 982188526302; alt. Phone Number 982188526303; alt. Phone Number 9821227700019; Business Registration Document # 103222 (Iran); National ID No. 10101863528 (Iran); Fax: 982188526337; Alt. Fax: 9221227700019; Linked To: MEHR EQTESAD BANK.
12803,TIDEWATER MIDDLE EAST CO.,-0- ,SDGT] [NPWMD] [IRGC] [IFSR] [IFCA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Website www.tidewaterco.com; Email Address info@tidewaterco.com; alt. Email Address info@tidewaterco.ir; IFCA Determination - Port Operator; Additional Sanctions Information - Subject to Secondary Sanctions; Business Registration Document # 18745 (Iran); Telephone: 982188553321; Alt. Telephone: 982188554432; Fax: 982188717367; Alt. Fax: 982188708761; Alt. Fax: 982188708911.
12813,POLITICAL SECURITY DIRECTORATE,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12816,YAKUZA,-0- ,TCO,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12817,CAMORRA,-0- ,TCO,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12846,HAMSHO INTERNATIONAL GROUP,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12847,COMMERCIAL BANK OF SYRIA,-0- ,NPWMD,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,SWIFT/BIC CMSYSYDA; all offices worldwide.
12848,SYRIAN LEBANESE COMMERCIAL BANK,-0- ,NPWMD,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,SWIFT/BIC SYLCLBBE.
12860,NAFTAN OAO,-0- ,BELARUS,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12861,GRODNO AZOT OAO,-0- ,BELARUS,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12862,GRODNO KHIMVOLOKNO OAO,-0- ,BELARUS,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12863,BELSHINA OAO,-0- ,BELARUS,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12866,GENERAL PETROLEUM CORPORATION,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,a.k.a. 'GPC'.
12867,SYRIAN PETROLEUM COMPANY,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,a.k.a. 'SPC'.
12869,SYTROL,-0- ,SYRIA] [ISA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12870,SYRIAN COMPANY FOR OIL TRANSPORT,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Website www.scot-syria.com; Email scot50@scn-net.org; a.k.a. 'SCOT'; a.k.a. 'SCOTRACO'.
12871,SYRIAN GAS COMPANY,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Website www.sgc.gov.sy; Email sgcpdit@mail.sy; Email info@sgc.gov.sy.
12894,IMPORTADORA SILVANIA,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Matricula Mercantil No 398330 (Colombia).
12895,"IMPORTADORA SILVANIA, C.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Tax ID No. RIF J-31069374-9 (Venezuela).
12896,BODEGA MICHIGAN,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Matricula Mercantil No 0081931 (Colombia).
12899,COMERCIALIZADORA EMPRESARIAL TEAM BUSINESS S.A.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 1792167248001 (Ecuador).
12901,"INTERNATIONAL GROUP OIRALIH, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. IGO0106296K5 (Mexico).
12902,NEGOCIOS INTERNACIONALES DEL ECUADOR NIDEGROUP S.A.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 1792138884001 (Ecuador).
12904,R D I S.A.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 830054366-3 (Colombia).
12910,"GRUPO MUNDO MARINO, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Business Registration Document # 383112 (Panama).
12914,INDIAN MUJAHIDEEN,-0- ,FTO] [SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12927,MAHAN AIR,-0- ,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12928,CONSPIRACY OF FIRE NUCLEI,-0- ,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
12932,REAL ESTATE BANK,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,SWIFT/BIC REBSSYDA.
12941,IRAN CENTRIFUGE TECHNOLOGY COMPANY,-0- ,NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions; a.k.a. 'TESA'.
12948,PAYA PARTOV CO.,-0- ,NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12950,PARTO SANAT CO.,-0- ,NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12951,NEKA NOVIN,-0- ,NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12954,FULMEN GROUP,-0- ,NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12956,YASA PART,-0- ,NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12959,SIMATIC DEVELOPMENT CO.,-0- ,NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Additional Sanctions Information - Subject to Secondary Sanctions.
12961,"CAFE DU LIBAN, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 36266-1-368869 (Panama).
12962,BODEGA ELECTRO GIORGIO,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Matricula Mercantil No 00027344 (Colombia).
12963,"EUROCAMBIO, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 17762-1-366473 (Panama); a.k.a. 'CASA DE CAMBIO EUROCAMBIO'.
12964,"GENERAL COMMERCE OVERSEAS, INC.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 1109850-1-561818 (Panama).
12965,PRODUCERS GROUP CORP.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 59443-40-344348 (Panama).
12966,"ZEDRO INVESTMENT, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 31906-42-245391 (Panama).
12967,"GIORGINO CORPORATION OF PANAMA, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 27216-2-227535 (Panama).
12968,"GIORGIO CHEAITELLY INVESTMENT, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 31850-2-245132 (Panama).
12969,"GIORGIOTELLY, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 33518-38-252229 (Panama).
12970,III MILLENIUM INTERNATIONAL,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 16927-1-366365 (Panama).
12971,"J.H. EXIM INTERNACIONAL, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 46110-70-302460 (Panama).
12972,SANTA MARIA INTERNATIONAL TRADING CORP.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 45579-11-300568 (Panama).
12973,"SILVER HOUSE, INC.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 1258011-1-80105701 (Panama).
12974,"OCEAN INDIC OVERSEAS, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 21523-11-193299 (Panama).
12975,ALMACEN ELECTRO SONY STAR,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 639000271-8 (Colombia); a.k.a. 'MICROEMPRESA KHANSA'.
12976,JUNIOR INTERNATIONAL S.A.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 17458-23-164253 (Panama).
12978,"EURO EXCHANGE Y FINANCIAL COMMERCE, INC.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 1652278-1-675861 (Panama); a.k.a. 'EUREX'.
12979,"GLOBAL TECHNOLOGY IMPORT & EXPORT, S.A. (GTI)",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 1061547-1-549692 (Panama).
12980,MICRO EMPRESA ASHQUI,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Matricula Mercantil No 0036550 (Colombia).
12983,AGROPECUARIA LA PERLA LTDA.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 8002113865 (Colombia); a.k.a. 'AGROPERLA'.
12984,KPD S.A.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 9000420320 (Colombia).
12985,ALMACEN BATUL,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 639000204-4 (Colombia); Matricula Mercantil No 36817 (Colombia); a.k.a. 'BODEGA CAMPEON'.
12986,COMERCIAL ESTILO Y MODA,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 639000204-4 (Colombia).
12987,COMERCIAL GLOBANTY,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 56083194-1 (Colombia); Matricula Mercantil No 102964 (Colombia).
12999,FARBE COMUNICACIONES LTDA,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,NIT # 811030724-4 (Colombia); Matricula Mercantil No 21-290521-03 (Colombia).
13001,MILITARY HOUSING ESTABLISHMENT,-0- ,SYRIA,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
13006,"DESARROLLO ARQUITECTONICO FORTIA, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. DAF0301276R6 (Mexico); Folio Mercantil No. 17103 (Mexico).
13007,"DESARROLLOS INMOBILIARIOS CITADEL, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. DIC071012771 (Mexico); Folio Mercantil No. 40246 (Mexico).
13008,"DESARROLLOS TURISTICOS FORTIA, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. DTF071012189 (Mexico); Folio Mercantil No. 39853 (Mexico).
13009,"DISPOSITIVOS INDUSTRIALES DINAMICOS, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RFC DID100927249 (Mexico).
13010,"DISTRIBUIDORA LIFE, S.A.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,RUC # 1205391-1-583093 (Panama).
13011,"DISTRIBUIDORA MEDICA HOSPITALARIA, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. DMH930419ETA (Mexico); Folio Mercantil No. 175066 (Mexico).
13012,"EL PALOMAR CAR WASH, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. PCW010604T1 (Mexico); Folio Mercantil No. 10374 (Mexico).
13013,"FORTIA BAJA SUR, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. FBS0710126M0 (Mexico); Folio Mercantil No. 39854 (Mexico).
13014,GEOFARMA S.A. DE C.V.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. GEO000810UD5 (Mexico); Folio Mercantil No. 265072 (Mexico).
13015,"GRUPO COMERCIAL SAN BLAS, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. GCS9903264U1 (Mexico); Folio Mercantil No. 251184 (Mexico).
13016,GRUPO F Y F MEDICAL INTERNACIONAL DE EQUIPOS,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Folio Mercantil No. 290199 (Mexico).
13017,"PROMOCIONES CITADEL, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. PCI071012KB2 (Mexico).
13018,PUNTO FARMACEUTICO S.A. DE C.V.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Folio Mercantil No. 258473 (Mexico).
13019,"SCUADRA FORTIA, S.A. DE C.V.",-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,R.F.C. SFO011205UJ8 (Mexico); Folio Mercantil No. 13537 (Mexico).
13020,TECNOLOGIA OPTIMA CORPORATIVA S. DE R.L. DE C.V.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Folio Mercantil No. 44444 (Mexico).
13021,UNION ABARROTERO DE JALISCO S.C. DE R.L. DE C.V.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Folio Mercantil No. 17656 (Mexico).
13026,MARANGE RESOURCES (PRIVATE) LIMITED,-0- ,ZIMBABWE,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
13027,MBADA DIAMONDS (PRIVATE) LIMITED,-0- ,ZIMBABWE,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- 
13041,AL-QA'IDA KURDISH BATTALIONS,-0- ,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,a.k.a. 'AQKB'.
13064,GELERI IMPORT EXPORT S.R.L.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Romanian C.R. J23/242/2004 (Romania).
13065,MEGA GROUP S.R.L.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,C.R. No. J23/863/2002 (Romania); Romanian Tax Registration 14637977 (Romania).
13066,GELRO IMPEX S.R.L.,-0- ,SDNTK,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,C.R. No. J10/623/1997 (Romania); Fiscal Code 9896460 (Romania).
